terminal_code
Flint Hills-PHX
SilverE-Evstn-UT
HFC-Grand Jct-Rack
HFC-Grand Junct
Suncor-GrandJ
Chv-LV-B-unev
TSO-LV-km
XOM-LV-U
HFC-PHX-km
Sunoco-PHX
TSO-PHX-cj
TSO-PHX-km
SilverE-SLC
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 612/31/2020 23:59 1.5646 1.5696 • SLC-TSO-UCT-UT-31840 212/31/2020 23:59 1.5646 1.5696 9.0050 9.0050 1.6080 1.6130 TSO-SLC-ub • SLC-TSO-U-NV-306135
Valero-Sparks
• SLC-TSO-U-UT-305666
HFC-Tucson-hep
TSO-Tucson
HFC-LV-unev • LV-HFC-Unev-AZ-200003 812/31/2020 23:59 1.7728 1.7778 3.0100 3.4000 • LV-HFC-Unev-AZ-topt-200 019912/31/2020 23:59 1.7728 1.7778 0.0230 3.0130 3.4030 • LV-HFC-Unev-NV-200003 712/31/2020 23:59 1.7728 1.7778 3.0100 3.4000 • LV-HFC-Unev-UT-58409
Valero-Sparks-ct
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/01/2021 00:00 1.7728 1.7778 2.0850 2.4850 • LV-HFC-Unev-AZ-topt-200 019901/01/2021 00:00 1.7728 1.7778 1.4080 2.0880 2.4880 • LV-HFC-Unev-NV-200003 701/01/2021 00:00 1.7728 1.7778 2.0850 2.4850 • LV-HFC-Unev-UT-58409
IA-LV
Alon-PHX • PHX-Alon-caljet-23002
IA-PHX
• PHX-Alon-km-76

IA-Reno
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/13/2021 23:59 1.6773 1.6823 • SLC-TSO-UCT-UT-31840 201/13/2021 23:59 1.6773 1.6823 9.0045 9.0045 1.7169 1.7219 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/13/2021 23:59 1.7973 1.8023 1.5600 2.2500 2.6500 • LV-HFC-Unev-AZ-topt-200 019901/13/2021 23:59 1.7973 1.8023 1.5630 2.2530 2.6530 • LV-HFC-Unev-NV-200003 701/13/2021 23:59 1.7973 1.8023 1.5600 2.2500 2.6500 • LV-HFC-Unev-UT-58409
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/14/2021 23:59 1.6906 1.6956 • SLC-TSO-UCT-UT-31840 201/14/2021 23:59 1.6906 1.6956 9.0045 9.0045 1.7281 1.7331 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/14/2021 23:59 1.7976 1.8026 1.5600 2.2500 2.6500 • LV-HFC-Unev-AZ-topt-200 019901/14/2021 23:59 1.7976 1.8026 1.5630 2.2530 2.6530 • LV-HFC-Unev-NV-200003 701/14/2021 23:59 1.7976 1.8026 1.5600 2.2500 2.6500 • LV-HFC-Unev-UT-58409
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/14/2021 23:59 1.6906 1.6956 • SLC-TSO-UCT-UT-31840 201/15/2021 00:00 1.6906 1.6956 9.0045 9.0045 1.7281 1.7331 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/14/2021 23:59 1.6906 1.6956 • SLC-TSO-UCT-UT-31840 201/15/2021 11:00 1.6906 1.6956 9.0045 9.0045 1.7281 1.7331 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/15/2021 23:59 1.7075 1.7125 • SLC-TSO-UCT-UT-31840 201/15/2021 23:59 1.7075 1.7125 9.0055 9.0055 1.7502 1.7552 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/15/2021 23:59 1.8143 1.8193 1.5450 2.2350 2.6350 • LV-HFC-Unev-AZ-topt-200 019901/15/2021 23:59 1.8143 1.8193 1.5480 2.2380 2.6380 • LV-HFC-Unev-NV-200003 701/15/2021 23:59 1.8143 1.8193 1.5450 2.2350 2.6350 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020001/15/2021 23:59 1.8143 1.5480 2.2380 2.6380 IA-LV
• LV-HFC-Unev-UT-topt-200 020001/16/2021 23:59 1.7943 1.5480 2.2380 2.6380 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/16/2021 23:59 1.7943 1.7993 1.5450 2.2350 2.6350 • LV-HFC-Unev-AZ-topt-200 019901/16/2021 23:59 1.7943 1.7993 1.5480 2.2380 2.6380 • LV-HFC-Unev-NV-200003 701/16/2021 23:59 1.7943 1.7993 1.5450 2.2350 2.6350 • LV-HFC-Unev-UT-58409
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/15/2021 23:59 1.7075 1.7125 • SLC-TSO-UCT-UT-31840 201/18/2021 12:00 1.7075 1.7125 9.0055 9.0055 1.7502 1.7552 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/18/2021 23:59 1.7185 1.7235 • SLC-TSO-UCT-UT-31840 201/18/2021 23:59 1.7185 1.7235 9.0055 9.0055 1.7577 1.7627 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/18/2021 23:59 1.7943 1.7993 1.5450 2.2350 2.6350 • LV-HFC-Unev-AZ-topt-200 019901/18/2021 23:59 1.7943 1.7993 1.5480 2.2380 2.6380 • LV-HFC-Unev-NV-200003 701/18/2021 23:59 1.7943 1.7993 1.5450 2.2350 2.6350 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020001/18/2021 23:59 1.7943 1.5480 2.2380 2.6380 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/18/2021 23:59 1.7185 1.7235 • SLC-TSO-UCT-UT-31840 201/19/2021 00:00 1.7185 1.7235 9.0055 9.0055 1.7577 1.7627 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/18/2021 23:59 1.7185 1.7235 • SLC-TSO-UCT-UT-31840 201/19/2021 11:00 1.7185 1.7235 9.0055 9.0055 1.7577 1.7627 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/18/2021 23:59 1.7185 1.7235 • SLC-TSO-UCT-UT-31840 201/19/2021 12:00 1.7185 1.7235 9.0055 9.0055 1.7577 1.7627 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/19/2021 23:59 1.7221 1.7271 • SLC-TSO-UCT-UT-31840 201/19/2021 23:59 1.7221 1.7271 9.0075 9.0075 1.7570 1.7620 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/19/2021 23:59 1.7920 1.7970 1.5700 2.2100 2.6100 • LV-HFC-Unev-AZ-topt-200 019901/19/2021 23:59 1.7920 1.7970 1.5730 2.2130 2.6130 • LV-HFC-Unev-NV-200003 701/19/2021 23:59 1.7920 1.7970 1.5700 2.2100 2.6100 • LV-HFC-Unev-UT-58409
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/19/2021 23:59 1.7221 1.7271 • SLC-TSO-UCT-UT-31840 201/20/2021 00:00 1.7221 1.7271 9.0075 9.0075 1.7570 1.7620 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/19/2021 23:59 1.7221 1.7271 • SLC-TSO-UCT-UT-31840 201/20/2021 11:00 1.7221 1.7271 9.0075 9.0075 1.7570 1.7620 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/20/2021 23:59 1.7340 1.7390 • SLC-TSO-UCT-UT-31840 201/20/2021 23:59 1.7340 1.7390 9.0065 9.0065 1.7697 1.7747 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/20/2021 23:59 1.7340 1.7390 • SLC-TSO-UCT-UT-31840 201/21/2021 00:00 1.7340 1.7390 9.0065 9.0065 1.7697 1.7747 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/20/2021 23:59 1.7340 1.7390 • SLC-TSO-UCT-UT-31840 201/21/2021 11:00 1.7340 1.7390 9.0065 9.0065 1.7697 1.7747 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/20/2021 23:59 1.8058 1.8108 1.6000 2.2400 2.6400 • LV-HFC-Unev-AZ-topt-200 019901/20/2021 23:59 1.8058 1.8108 1.6030 2.2430 2.6430 • LV-HFC-Unev-NV-200003 701/20/2021 23:59 1.8058 1.8108 1.6000 2.2400 2.6400 • LV-HFC-Unev-UT-58409
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/21/2021 23:59 1.7498 1.7548 • SLC-TSO-UCT-UT-31840 201/21/2021 23:59 1.7498 1.7548 9.0040 9.0040 1.7870 1.7920 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/21/2021 23:59 1.7498 1.7548 • SLC-TSO-UCT-UT-31840 201/22/2021 00:00 1.7498 1.7548 9.0040 9.0040 1.7870 1.7920 TSO-SLC-ub • SLC-TSO-U-NV-306135
